CBM_Type,Training_Mode,Alpha,k,Run,Leakage,Warning,num_sim,n,d
soft,joint,20.0,10,14,0.0057815873673561224,False,15,2000,700
soft,joint,20.0,10,15,0.004138859116583626,False,15,2000,700
soft,joint,20.0,20,1,0.005182159378751328,False,15,2000,700
soft,joint,20.0,20,2,-0.0024855564843559996,False,15,2000,700
soft,joint,20.0,20,3,0.0036896820956715537,False,15,2000,700
soft,joint,20.0,20,4,0.007186291751126284,False,15,2000,700
soft,joint,20.0,20,5,0.00421947583583826,False,15,2000,700
soft,joint,20.0,20,6,0.0033734979991508762,False,15,2000,700
soft,joint,20.0,20,7,0.0031649066679688698,False,15,2000,700
soft,joint,20.0,20,8,0.007875099020829612,False,15,2000,700
soft,joint,20.0,20,9,-0.0027870822977704712,False,15,2000,700
soft,joint,20.0,20,10,0.0016161482022165607,False,15,2000,700
soft,joint,20.0,20,11,0.013482989352778585,False,15,2000,700
soft,joint,20.0,20,12,0.005155952678606246,False,15,2000,700
soft,joint,20.0,20,13,0.007423446382442744,False,15,2000,700
soft,joint,20.0,20,14,0.005592341621965868,False,15,2000,700
soft,joint,20.0,20,15,-0.00010182046276763224,False,15,2000,700
soft,joint,20.0,50,1,0.006678370963111302,False,15,2000,700
soft,joint,20.0,50,2,0.005690050568307958,False,15,2000,700
soft,joint,20.0,50,3,0.004235264450243692,False,15,2000,700
soft,joint,20.0,50,4,0.007937307414452643,False,15,2000,700
soft,joint,20.0,50,5,0.000920104297137847,False,15,2000,700
soft,joint,20.0,50,6,0.009360287841491344,False,15,2000,700
soft,joint,20.0,50,7,-0.003734363620068404,False,15,2000,700
soft,joint,20.0,50,8,0.007744773920223658,False,15,2000,700
soft,joint,20.0,50,9,0.004497374204557092,False,15,2000,700
soft,joint,20.0,50,10,0.001160038132921981,False,15,2000,700
soft,joint,20.0,50,11,0.004714612221924819,False,15,2000,700
soft,joint,20.0,50,12,0.0039030469977086035,False,15,2000,700
soft,joint,20.0,50,13,0.001577199391822548,False,15,2000,700
soft,joint,20.0,50,14,0.006376807896362191,False,15,2000,700
soft,joint,20.0,50,15,0.008954273769002707,False,15,2000,700
soft,joint,20.0,100,1,0.00654126669289945,False,15,2000,700
soft,joint,20.0,100,2,0.0054382321941568446,False,15,2000,700
